age,age_onset,birthplace,filename,native_language,sex,speakerid,country,audio_length,max_freq,db
28.0,6.0,"addis ababa, ethiopia",amharic13,amharic,famale,1131,ethiopia,32.62591836734694,22050.0,33.0358764544263
31.0,12.0,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,30.077437641723357,22050.0,31.761239258062922
23.0,6.0,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,33.417142857142856,22050.0,33.08262550344245
36.0,11.0,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,29.085396825396824,22050.0,32.67827186855207
21.0,9.0,"addis ababa, ethiopia",amharic17,amharic,male,1906,ethiopia,25.17734693877551,22050.0,30.65290312958097
20.0,2.0,"addis ababa, ethiopia",amharic18,amharic,famale,2017,ethiopia,23.516054421768708,22050.0,32.25410850575648
19.0,10.0,"tefki, ethiopia",amharic19,amharic,famale,2132,ethiopia,23.488367346938777,22050.0,32.39534250355037
23.0,7.0,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,53.11605442176871,22050.0,33.43478194315917
52.0,24.0,"addis ababa, ethiopia",amharic20,amharic,famale,2135,ethiopia,38.74659863945578,22050.0,31.116907288475097
27.0,8.0,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,23.89659863945578,22050.0,29.339346829665
20.0,7.0,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia,43.74213151927437,22050.0,30.024595268256867
31.0,7.0,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,26.09269841269841,22050.0,30.511741104251424
31.0,4.0,"addis ababa, ethiopia",amharic6,amharic,famale,985,ethiopia,24.74986394557823,22050.0,29.670373405884863
38.0,13.0,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,32.0927664399093,22050.0,33.685969159321985
30.0,12.0,"addis ababa, ethiopia",amharic8,amharic,famale,990,ethiopia,47.16231292517007,22050.0,30.346374582922387
40.0,12.0,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,41.82798185941043,22050.0,33.13116387370955
38.0,12.0,"riyadh, saudi arabia",arabic1,arabic,famale,11,saudi arabia,45.44,22050.0,30.467580101713125
26.0,5.0,"cairo, egypt",arabic10,arabic,male,12,egypt,37.16541950113378,22050.0,32.65240900469741
40.0,10.0,"beirut, lebanon",arabic100,arabic,famale,2159,lebanon,30.0102947845805,22050.0,33.33451352245867
21.0,10.0,"doha, qatar",arabic101,arabic,male,2160,qatar,37.77278911564626,22050.0,33.279346772840896
22.0,3.0,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,19.4589375,24000.0,29.090808299173553
30.0,14.0,"monastir, tunisia",arabic11,arabic,famale,13,tunisia,32.516825396825396,22050.0,30.348121800745815
32.0,11.0,"baghdad, iraq",arabic12,arabic,male,14,iraq,39.67702947845805,22050.0,31.167841611344137
25.0,15.0,"zabbougha, lebanon",arabic13,arabic,male,15,lebanon,30.231292517006803,22050.0,29.48991654851081
47.0,11.0,"amman, jordan",arabic14,arabic,male,428,jordan,48.931179138321994,22050.0,30.889852367690697
40.0,33.0,"qayrawan, tunisia",arabic15,arabic,male,437,tunisia,37.36462585034013,22050.0,32.64236025969256
22.0,16.0,"meknes, morocco",arabic16,arabic,male,471,morocco,20.255238095238095,22050.0,30.07727291996573
35.0,15.0,"settat, morocco",arabic17,arabic,male,512,morocco,22.47015873015873,22050.0,28.120797099674707
18.0,6.0,"kuwait city, kuwait",arabic18,arabic,male,539,kuwait,28.356213151927438,22050.0,32.89794905835821
43.0,18.0,"khouribga, morocco",arabic19,arabic,male,625,morocco,38.280521541950115,22050.0,31.756021698324737
18.0,2.5,"damascus, syria",arabic2,arabic,male,16,syria,28.047709750566895,22050.0,33.01346833954151
36.0,12.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,643,lebanon,26.60548752834467,22050.0,30.757831179796398
46.0,30.0,"beirut, lebanon",arabic21,arabic,famale,670,lebanon,27.73292517006803,22050.0,31.943440363632373
23.0,10.0,"abu dhabi, united arab emirates",arabic22,arabic,famale,920,united arab emirates,28.450249433106578,22050.0,29.55273488273415
42.0,13.0,"al mahalla, egypt",arabic23,arabic,male,927,egypt,28.485963718820862,22050.0,32.941242510798475
40.0,7.0,"cairo, egypt",arabic24,arabic,male,970,egypt,41.09931972789116,22050.0,30.933793061134537
38.0,5.0,"ramun, israel (occupied territory)",arabic25,arabic,male,1011,israel (occupied territory),32.54290249433107,22050.0,32.741887777575954
43.0,14.0,"amman, jordan",arabic26,arabic,famale,1012,jordan,39.90263038548753,22050.0,32.84501461578038
70.0,10.0,"jerusalem, israel",arabic27,arabic,male,1013,israel,66.11367346938775,22050.0,31.695880308879467
30.0,12.0,"al-ayn, united arab emirates",arabic28,arabic,male,1115,united arab emirates,85.1191836734694,22050.0,30.840420844753403
19.0,17.0,"doha, qatar",arabic29,arabic,male,1116,qatar,35.642267573696145,22050.0,31.84237091275993
24.0,9.0,"doha, qatar",arabic3,arabic,male,17,qatar,48.18927437641723,22050.0,30.280987889423997
19.0,8.0,"riyadh, saudi arabia",arabic30,arabic,famale,1133,saudi arabia,23.417052154195012,22050.0,30.657739165416046
47.0,12.0,"baghdad, iraq",arabic31,arabic,famale,1181,iraq,49.01086167800454,22050.0,31.157936141524463
42.0,12.0,"baghdad, iraq",arabic32,arabic,male,1203,iraq,27.717981859410433,22050.0,30.16935433998624
28.0,11.0,"baghdad, iraq",arabic33,arabic,famale,1204,iraq,40.70374149659864,22050.0,31.412870383583595
34.0,6.0,"kuwait city, kuwait",arabic34,arabic,famale,1253,kuwait,22.51936507936508,22050.0,31.62035008458161
56.0,16.0,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,30.075238095238095,22050.0,31.790172830150297
36.0,6.0,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,38.49945578231293,22050.0,31.020540256475453
18.0,16.0,"jiddah, saudi arabia",arabic37,arabic,male,1393,saudi arabia,20.70814058956916,22050.0,30.644519540923522
19.0,9.0,"shady grove, maryland, usa",arabic38,arabic,famale,1394,usa,31.97140589569161,22050.0,31.47211568615363
22.0,5.0,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,32.63814058956916,22050.0,33.4881035262133
19.0,6.0,"sharjah, united arab emirates",arabic4,arabic,male,18,united arab emirates,23.269614512471655,22050.0,31.49508644046389
19.0,13.0,"jiddah, saudi arabia",arabic40,arabic,male,1420,saudi arabia,35.15374149659864,22050.0,32.333033994174706
25.0,7.0,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,36.99092970521542,22050.0,33.58175569551628
21.0,13.0,"jiddah, saudi arabia",arabic42,arabic,male,1422,saudi arabia,64.83011337868481,22050.0,31.982297698353428
29.0,8.0,"beirut, lebanon",arabic43,arabic,famale,1426,lebanon,31.2540589569161,22050.0,31.734358267927757
29.0,7.0,"jiddah, saudi arabia",arabic44,arabic,famale,1455,saudi arabia,32.41505668934241,22050.0,32.292674705093894
32.0,12.0,"fort collins, colorado, usa",arabic45,arabic,famale,1456,usa,41.145759637188206,22050.0,31.101438824899837
28.0,13.0,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,36.594648526077094,22050.0,32.28110887586639
39.0,16.0,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,64.17995464852608,22050.0,32.80059625549514
29.0,12.0,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,35.062131519274374,22050.0,31.726984460258816
26.0,8.0,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,39.19528344671202,22050.0,30.88511740739839
19.0,15.0,"casablanca, morocco",arabic5,arabic,famale,19,morocco,31.42251700680272,22050.0,32.55866228218593
36.0,22.0,"jiddah, saudi arabia",arabic50,arabic,male,1461,saudi arabia,39.42748299319728,22050.0,32.334067350437905
23.0,12.0,"jiddah, saudi arabia",arabic51,arabic,male,1486,saudi arabia,25.79498866213152,22050.0,32.80558901277844
21.0,9.0,"jiddah, saudi arabia",arabic52,arabic,famale,1487,saudi arabia,25.994739229024944,22050.0,33.067655449974424
36.0,17.0,"rabat, morocco",arabic53,arabic,male,1526,morocco,31.857845804988663,22050.0,33.303749813371624
22.0,7.0,"baghdad, iraq",arabic54,arabic,male,1565,iraq,23.754013605442175,22050.0,32.88081607552939
70.0,33.0,"beirut, lebanon",arabic55,arabic,male,1569,lebanon,33.27569160997732,22050.0,32.10305749651955
43.0,12.0,"ain defla, algeria",arabic56,arabic,male,1677,algeria,26.495,24000.0,31.197734722006942
28.0,17.0,"beirut, lebanon",arabic57,arabic,famale,1699,lebanon,24.865691609977326,22050.0,31.957129860324386
34.0,9.0,"baghdad, iraq",arabic58,arabic,male,1700,iraq,26.74628117913832,22050.0,31.21466869199018
55.0,9.0,"irbid, jordan",arabic59,arabic,male,1702,jordan,25.437460317460317,22050.0,28.94247485959323
21.0,14.5,"sanaa, yemen",arabic6,arabic,male,20,yemen,26.302857142857142,22050.0,29.907528874512597
60.0,14.0,"cairo, egypt",arabic60,arabic,male,1711,egypt,39.113015873015875,22050.0,30.04072005516924
20.0,7.0,"manama, bahrain",arabic61,arabic,male,1753,bahrain,21.593197278911564,22050.0,33.31541440330385
19.0,18.0,"ad dammam, saudi arabia",arabic62,arabic,male,1768,saudi arabia,48.86283446712018,22050.0,32.311021077040934
28.0,10.0,"bani walid, libya",arabic63,arabic,famale,1769,libya,43.003356009070295,22050.0,33.7709668207026
23.0,6.0,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,25.05950113378685,22050.0,31.49099625055537
32.0,10.0,"samail, oman",arabic65,arabic,famale,1778,oman,29.872585034013607,22050.0,32.603238872711316
50.0,14.0,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,47.436462585034015,11025.0,31.981045944619982
43.0,22.0,"nasriah, iraq",arabic67,arabic,male,1785,iraq,39.67687074829932,11025.0,32.20894998705206
20.0,6.0,"london, uk",arabic68,arabic,male,1805,uk,36.548208616780045,22050.0,32.793970679788025
55.0,15.0,"kerma, sudan",arabic69,arabic,famale,1810,sudan,28.74108843537415,22050.0,33.05211632380743
18.0,15.0,"casablanca, morocco",arabic7,arabic,famale,21,morocco,30.252267573696145,22050.0,31.24399911756153
47.0,16.0,"casablanca, morocco",arabic70,arabic,male,1827,morocco,29.95374149659864,22050.0,33.60373361150093
29.0,21.0,"kuwait city, kuwait",arabic71,arabic,famale,1828,kuwait,32.08997732426304,22050.0,32.47096915192301
20.0,11.0,"baghdad, iraq",arabic72,arabic,famale,1832,iraq,27.32292517006803,22050.0,32.163632674669714
47.0,7.0,"nazareth, israel",arabic73,arabic,famale,1841,israel,31.093537414965986,22050.0,33.475242861008255
18.0,4.0,"alexandria, egypt",arabic74,arabic,male,1870,egypt,29.860861678004536,22050.0,29.9534561280543
26.0,2.0,"riyadh, saudi arabia",arabic75,arabic,famale,1885,saudi arabia,21.2602947845805,22050.0,32.74811685535739
25.0,4.0,"jiddah, saudi arabia",arabic76,arabic,male,1892,saudi arabia,26.18875283446712,22050.0,31.865989312640046
18.0,4.0,"ad dammam, saudi arabia",arabic77,arabic,famale,1894,saudi arabia,23.807845804988663,22050.0,32.92969252315779
19.0,3.0,"washington, district of columbia, usa",arabic78,arabic,famale,1897,usa,20.657641723356008,22050.0,32.249413438643685
24.0,13.0,"medina, saudi arabia",arabic79,arabic,famale,1899,saudi arabia,23.754013605442175,22050.0,32.61222701935783
21.0,17.0,"casablanca, morocco",arabic8,arabic,male,22,morocco,28.46437641723356,22050.0,32.26751367767788
25.0,11.0,"najran, saudi arabia",arabic80,arabic,male,1901,saudi arabia,38.31251700680272,22050.0,31.471306453806214
22.0,17.0,"riyadh, saudi arabia",arabic81,arabic,male,1914,saudi arabia,28.844920634920634,22050.0,33.52308943444786
42.0,12.0,"damascus, syria",arabic82,arabic,male,1917,syria,32.41505668934241,22050.0,31.212141340820075
22.0,21.0,"riyadh, saudi arabia",arabic83,arabic,male,1920,saudi arabia,30.7943537414966,22050.0,32.553008449599034
26.0,12.0,"medina, saudi arabia",arabic84,arabic,famale,1927,saudi arabia,28.328344671201815,22050.0,31.99041448025649
24.0,14.0,"ad dammam, saudi arabia",arabic85,arabic,famale,1963,saudi arabia,25.588390022675735,22050.0,31.944039236896913
28.0,3.0,"cairo, egypt",arabic86,arabic,male,1964,egypt,20.938185941043084,22050.0,29.980491387893807
49.0,10.0,"kuwait city, kuwait",arabic87,arabic,famale,2005,kuwait,34.745986394557825,22050.0,32.16800235818684
19.0,4.0,"beirut, lebanon",arabic88,arabic,famale,2008,lebanon,29.082108843537416,22050.0,31.60522301867882
35.0,19.0,"baghdad, iraq",arabic89,arabic,famale,2022,iraq,28.334285714285713,22050.0,33.66534891848678
28.0,4.0,"jerusalem, israel",arabic9,arabic,famale,23,israel,34.68827664399093,22050.0,31.61056772126178
23.0,12.0,"tripoli, libya",arabic90,arabic,famale,2036,libya,37.776666666666664,22050.0,33.38272804168484
57.0,12.0,"riyadh, saudi arabia",arabic91,arabic,famale,2086,saudi arabia,55.92174603174603,22050.0,33.01388279388379
36.0,10.0,"baghdad, iraq",arabic92,arabic,male,2087,iraq,44.31541950113379,22050.0,34.202424422935664
27.0,10.0,"baghdad, iraq",arabic93,arabic,famale,2112,iraq,49.963854875283445,22050.0,30.06494567812623
24.0,9.0,"abu dhabi, united arab emirates",arabic94,arabic,famale,2114,united arab emirates,35.095238095238095,22050.0,31.27760723805433
31.0,10.0,"kuwait city, kuwait",arabic95,arabic,famale,2143,kuwait,46.55133786848072,22050.0,32.11777561992734
21.0,7.0,"riyadh, saudi arabia",arabic96,arabic,male,2153,saudi arabia,31.411156462585033,22050.0,33.33601642718992
19.0,4.0,"sharjah, united arab emirates",arabic97,arabic,famale,2154,united arab emirates,24.55081632653061,22050.0,31.78244533449154
19.0,4.0,"ras al khaimah, united arab emirates",arabic98,arabic,famale,2155,united arab emirates,22.566984126984128,22050.0,30.05161555542314
25.0,16.0,"ad dammam, saudi arabia",arabic99,arabic,famale,2157,saudi arabia,43.70541950113379,22050.0,31.885557554392744
19.0,9.0,"yerevan, armenia",armenian1,armenian,famale,24,armenia,24.160226757369614,11025.0,29.282533942320633
44.0,7.0,"tehran, iran",armenian2,armenian,famale,435,iran,26.908843537414967,22050.0,31.121785546314996
54.0,12.0,"yerevan, armenia",armenian3,armenian,famale,849,armenia,34.32360544217687,22050.0,31.48695725427073
27.0,12.0,"tbilisi, republic of georgia",armenian4,armenian,famale,947,republic of georgia,28.81136054421769,22050.0,31.678978066677104
21.0,15.0,"yerevan, armenia",armenian5,armenian,famale,997,armenia,26.79111111111111,22050.0,29.41690004912004
23.0,11.0,"armavir, russia",armenian6,armenian,male,1228,russia,15.76827664399093,22050.0,29.973524517298173
31.0,10.0,"tehran, iran",armenian7,armenian,male,1505,iran,34.97233560090703,22050.0,31.104018590495592
50.0,35.0,"yerevan, armenia",armenian8,armenian,famale,1710,armenia,28.5759410430839,22050.0,32.34821197337956
42.0,1.0,"accra, ghana",ashanti1,ashanti,famale,1977,ghana,23.359274376417233,22050.0,30.938855384770033
24.0,14.0,"naxcivan, azerbaijan",azerbaijani1,azerbaijani,male,25,azerbaijan,29.229637188208617,22050.0,29.538406269780516
42.0,40.0,"baku, azerbaijan",azerbaijani2,azerbaijani,famale,434,azerbaijan,54.483378684807256,22050.0,30.897498584976248
31.0,16.0,"baku, azerbaijan",azerbaijani3,azerbaijani,male,1791,azerbaijan,25.987596371882088,22050.0,29.260364407114974
40.0,30.0,"douala, cameroon",bafang1,bafang,male,26,cameroon,40.74482993197279,22050.0,33.21186203502594
38.0,6.0,"douala, cameroon",bafang2,bafang,male,992,cameroon,36.70984126984127,22050.0,33.60208371536023
31.0,29.0,"conakry, guinea",baga1,baga,male,27,guinea,42.151496598639454,22050.0,31.29288324554433
43.0,40.0,"jianchuan, yunnan, china",bai1,bai,famale,28,china,60.789138321995466,22050.0,28.600774521644095
15.5,12.0,"bamako, mali",bambara1,bambara,famale,29,mali,35.66222222222222,22050.0,33.42488738238244
26.0,18.0,"bamako, mali",bambara2,bambara,famale,30,mali,30.634285714285713,22050.0,30.54391657384474
22.0,12.0,"bamako, mali",bambara3,bambara,male,413,mali,34.35791383219954,22050.0,30.913304118131823
26.0,14.0,"goudiri, senegal",bambara4,bambara,male,787,senegal,32.71709750566893,22050.0,31.832132620747316
23.0,21.0,"segou, mali",bambara5,bambara,famale,969,mali,31.050544217687076,22050.0,30.443246936493548
31.0,15.0,"foumban, cameroon",bamun1,bamun,famale,31,cameroon,31.87954648526077,22050.0,31.928597700756114
34.0,6.0,"khartoum, sudan",bari1,bari,male,1029,sudan,25.2881179138322,22050.0,32.353569772210385
36.0,7.0,"khartoum, sudan",bari2,bari,male,1030,sudan,42.11458049886621,22050.0,30.94088833324756
69.0,34.0,"vizcaya, spain",basque1,basque,famale,32,spain,64.50321995464853,22050.0,32.30042316671454
50.0,19.0,"guernica, spain",basque2,basque,male,33,spain,33.216371882086165,22050.0,32.5264620770829
54.0,10.0,"erding, bavaria, germany",bavarian1,bavarian,famale,687,germany,23.865578231292517,22050.0,29.99658683343985
52.0,10.0,"berchtesgaden, germany",bavarian2,bavarian,famale,1045,germany,32.6884126984127,22050.0,33.113348456621104
25.0,11.0,"chamiancy, vilejka, belarus",belarusan1,belarusan,male,417,belarus,25.18689342403628,22050.0,31.644495474373194
43.0,12.0,"minsk, belarus",belarusan2,belarusan,famale,650,belarus,25.360589569160997,22050.0,31.367029150984344
18.0,6.0,"gomel, belarus",belarusan3,belarusan,male,2166,belarus,25.973650793650794,22050.0,32.719212273279744
23.0,16.0,"dhaka, bangladesh",bengali1,bengali,male,34,bangladesh,28.774761904761906,22050.0,31.715008362564127
18.0,3.0,"dhaka, bangladesh",bengali10,bengali,famale,1009,bangladesh,21.228412698412697,22050.0,30.85080383394327
34.0,3.5,"durgapur, west bengal, india",bengali11,bengali,male,1018,india,24.86972789115646,22050.0,31.570397630843914
25.0,4.0,"sylhet, bangladesh",bengali12,bengali,famale,1682,bangladesh,31.573378684807256,22050.0,31.615664581620145
33.0,10.0,"dhaka, bangladesh",bengali13,bengali,famale,1825,bangladesh,27.077006802721087,22050.0,32.16357274325085
26.0,4.0,"kolkata, india",bengali14,bengali,male,1973,india,23.162875,8000.0,32.557747986673604
46.0,8.0,"dhaka, bangladesh",bengali15,bengali,famale,2004,bangladesh,48.51342403628118,22050.0,29.64160771312653
24.0,6.0,"dhaka, bangladesh",bengali16,bengali,famale,2073,bangladesh,31.378662131519274,22050.0,31.350205078742725
19.0,6.0,"sylhet, bangladesh",bengali17,bengali,famale,2139,bangladesh,22.778958333333332,24000.0,31.216820033761937
25.0,2.0,"lusaka, zambia",bengali2,bengali,famale,35,zambia,19.32984126984127,22050.0,30.268082607771984
19.0,5.0,"dhaka, bangladesh",bengali3,bengali,famale,36,bangladesh,27.607732426303855,22050.0,31.85167940337369
24.0,6.0,"chittagong, bangladesh",bengali4,bengali,male,37,bangladesh,30.0384126984127,22050.0,31.478219764577595
40.0,5.0,"dhaka, bangladesh",bengali5,bengali,famale,622,bangladesh,35.10213151927438,22050.0,31.551339963110326
29.0,4.0,"jamshedpur, jharkhand, india",bengali6,bengali,male,624,india,20.54233560090703,22050.0,29.822759930326605
49.0,6.0,"mymensingh, bangladesh",bengali7,bengali,male,710,bangladesh,36.65451247165533,22050.0,34.340509241648135
54.0,5.0,"noakhali, bangladesh",bengali8,bengali,male,709,bangladesh,29.788730158730157,22050.0,33.701928423908896
61.0,12.0,"kolkata, india",bengali9,bengali,famale,987,india,31.778072562358275,22050.0,32.787057757422986
39.0,37.0,"doboj, bosnia and herzegovina",bosnian1,bosnian,male,38,bosnia and herzegovina,33.33151927437642,22050.0,33.397322220115
21.0,10.0,"sarajevo, bosnia and herzegovina",bosnian2,bosnian,male,39,bosnia and herzegovina,26.528027210884353,22050.0,30.83498328020911
25.0,12.0,"sarajevo, bosnia and herzegovina",bosnian3,bosnian,famale,808,bosnia and herzegovina,21.4681179138322,22050.0,31.042217953172056
20.0,11.0,"travnik, bosnia and herzegovina",bosnian4,bosnian,male,943,bosnia and herzegovina,24.39578231292517,22050.0,32.07855215602573
25.0,6.0,"travnik, bosnia and herzegovina",bosnian5,bosnian,famale,944,bosnia and herzegovina,28.452585034013605,22050.0,31.33528749438132
29.0,22.0,"zenica, bosnia and herzegovina",bosnian6,bosnian,famale,1025,bosnia and herzegovina,28.63233560090703,22050.0,30.666050023640977
24.0,10.0,"gornji vakuf, bosnia and herzegovina",bosnian7,bosnian,famale,1058,bosnia and herzegovina,31.73968253968254,22050.0,30.141612820128458
24.0,15.0,"sarajevo, bosnia and herzegovina",bosnian8,bosnian,famale,1082,bosnia and herzegovina,29.17560090702948,22050.0,29.45396024315263
47.0,5.0,"sarajevo, bosnia and herzegovina",bosnian9,bosnian,male,1289,bosnia and herzegovina,20.088571428571427,22050.0,30.290318780346354
25.0,16.0,"plovdiv, bulgaria",bulgarian1,bulgarian,famale,40,bulgaria,26.07081632653061,22050.0,32.98315897634193
21.0,15.0,"dobrich, bulgaria",bulgarian10,bulgarian,famale,965,bulgaria,25.06501133786848,22050.0,31.935019823934677
24.0,16.0,"dobrich, bulgaria",bulgarian11,bulgarian,male,966,bulgaria,33.126598639455786,22050.0,32.539351679285396
30.0,9.0,"sofia, bulgaria",bulgarian12,bulgarian,famale,1446,bulgaria,23.989002267573696,22050.0,33.04368955721566
20.0,9.0,"chirpan, bulgaria",bulgarian13,bulgarian,male,1512,bulgaria,28.453990929705217,22050.0,30.19255267234819
46.0,30.0,"sofia, bulgaria",bulgarian14,bulgarian,male,1611,bulgaria,36.50181405895692,22050.0,31.730735973212575
22.0,10.0,"varna, bulgaria",bulgarian15,bulgarian,male,1859,bulgaria,27.248616780045353,22050.0,32.51376790058579
21.0,6.0,"kyustendil, bulgaria",bulgarian16,bulgarian,male,1880,bulgaria,23.08988662131519,22050.0,31.231547126166834
31.0,9.0,"sofia, bulgaria",bulgarian17,bulgarian,famale,1915,bulgaria,27.093560090702947,22050.0,31.517140384790103
20.0,10.0,"razlog, bulgaria",bulgarian18,bulgarian,male,2024,bulgaria,22.293582766439908,22050.0,31.951374986846872
53.0,42.0,"sofia, bulgaria",bulgarian2,bulgarian,famale,41,bulgaria,40.15385487528345,22050.0,33.15822612399862
27.0,10.0,"sofia, bulgaria",bulgarian3,bulgarian,male,42,bulgaria,24.296621315192745,22050.0,32.34869239270954
22.0,20.0,"plovdiv, bulgaria",bulgarian4,bulgarian,male,43,bulgaria,28.56639455782313,22050.0,30.483926233609516
23.0,14.0,"sofia, bulgaria",bulgarian5,bulgarian,male,44,bulgaria,28.558095238095238,22050.0,30.962892882537552
27.0,11.0,"ruse, bulgaria",bulgarian6,bulgarian,male,557,bulgaria,19.12170068027211,22050.0,28.52363128280498
18.0,13.0,"stara zagora, bulgaria",bulgarian7,bulgarian,male,566,bulgaria,27.742426303854874,22050.0,29.50778069659034
31.0,8.0,"sofia, bulgaria",bulgarian8,bulgarian,famale,848,bulgaria,34.91394557823129,22050.0,33.49405972780629
31.0,10.0,"ruse, bulgaria",bulgarian9,bulgarian,famale,923,bulgaria,24.499002267573697,22050.0,32.41873964730247
35.0,11.0,"yangon, myanmar",burmese1,burmese,famale,758,myanmar,33.07734693877551,22050.0,30.244637435674157
29.0,7.0,"yangon, myanmar",burmese2,burmese,male,1568,myanmar,28.254784580498868,22050.0,30.823808177864347
22.0,12.0,"hong kong, china",cantonese1,cantonese,famale,45,china,34.05201814058957,22050.0,32.37522716020181
25.0,3.0,"xiamen, fujian, china",cantonese10,cantonese,famale,505,china,22.466213151927438,22050.0,31.16512547722238
22.0,3.0,"hong kong, china",cantonese11,cantonese,famale,544,china,23.448662131519274,22050.0,32.190058423250484
20.0,4.0,"macau, china",cantonese12,cantonese,famale,602,china,24.35124716553288,11025.0,29.79492443489601
21.0,3.0,"hong kong, china",cantonese13,cantonese,famale,730,china,28.159160997732425,22050.0,32.92112793447754
19.0,3.0,"hong kong, china",cantonese14,cantonese,famale,742,china,20.399750566893424,22050.0,32.47967678990151
31.0,12.0,"qingyuan, guangdong, china",cantonese15,cantonese,famale,862,china,23.028526077097506,22050.0,31.484122182500602
29.0,3.0,"hong kong, china",cantonese16,cantonese,famale,874,china,21.533809523809524,22050.0,28.088222895733786
26.0,3.0,"hong kong, china",cantonese17,cantonese,famale,878,china,24.900408163265308,22050.0,32.73787486200665
19.0,3.0,"hong kong, china",cantonese18,cantonese,male,885,china,22.891972789115645,22050.0,31.008982132768615
28.0,7.0,"hong kong, china",cantonese19,cantonese,famale,1247,china,34.279705215419504,22050.0,31.710655785934783
20.0,13.0,"hong kong, china",cantonese2,cantonese,male,46,china,42.279274376417234,22050.0,30.439864890165506
18.0,3.0,"hong kong, china",cantonese20,cantonese,male,1480,china,33.90931972789116,22050.0,30.203869117408715
18.0,4.0,"hong kong, china",cantonese21,cantonese,famale,1558,china,26.281768707482993,22050.0,32.85567588849931
30.0,3.0,"hong kong, china",cantonese22,cantonese,famale,1974,china,23.614104308390022,22050.0,31.995528823680438
